dataset,feature_set,model,metric,value,fit_time_sec
medical,full,LogisticRegression,accuracy,0.6722222222222223,0.005496300058439374
medical,full,LogisticRegression,f1,0.46846846846846846,0.005496300058439374
medical,full,LogisticRegression,roc_auc,0.7617748681578469,0.005496300058439374
medical,full,RandomForest,accuracy,0.7888888888888889,0.9330247000325471
medical,full,RandomForest,f1,0.17391304347826086,0.9330247000325471
medical,full,RandomForest,roc_auc,0.7083106019276232,0.9330247000325471
medical,full,LinearSVC,accuracy,0.6666666666666666,0.0024013000074774027
medical,full,LinearSVC,f1,0.4642857142857143,0.0024013000074774027
medical,full,LinearSVC,roc_auc,0.7612293144208038,0.0024013000074774027
medical,full,MLPClassifier,accuracy,0.7777777777777778,0.03166540001984686
medical,full,MLPClassifier,f1,0.0,0.03166540001984686
medical,full,MLPClassifier,roc_auc,0.5262775050009092,0.03166540001984686
medical,set_A_wrapper,LogisticRegression,accuracy,0.6888888888888889,0.005394599982537329
medical,set_A_wrapper,LogisticRegression,f1,0.4909090909090909,0.005394599982537329
medical,set_A_wrapper,LogisticRegression,roc_auc,0.7601382069467175,0.005394599982537329
medical,set_A_wrapper,RandomForest,accuracy,0.7777777777777778,1.0151467999676242
medical,set_A_wrapper,RandomForest,f1,0.23076923076923078,1.0151467999676242
medical,set_A_wrapper,RandomForest,roc_auc,0.7024913620658302,1.0151467999676242
medical,set_A_wrapper,LinearSVC,accuracy,0.6888888888888889,0.0032424000091850758
medical,set_A_wrapper,LinearSVC,f1,0.4909090909090909,0.0032424000091850758
medical,set_A_wrapper,LinearSVC,roc_auc,0.7605019094380796,0.0032424000091850758
medical,set_A_wrapper,MLPClassifier,accuracy,0.7722222222222223,0.05132249998860061
medical,set_A_wrapper,MLPClassifier,f1,0.046511627906976744,0.05132249998860061
medical,set_A_wrapper,MLPClassifier,roc_auc,0.4982724131660302,0.05132249998860061
medical,set_B_tree,LogisticRegression,accuracy,0.6777777777777778,0.004859799984842539
medical,set_B_tree,LogisticRegression,f1,0.4423076923076923,0.004859799984842539
medical,set_B_tree,LogisticRegression,roc_auc,0.7417712311329333,0.004859799984842539
medical,set_B_tree,RandomForest,accuracy,0.7888888888888889,1.0357379999477416
medical,set_B_tree,RandomForest,f1,0.2962962962962963,1.0357379999477416
medical,set_B_tree,RandomForest,roc_auc,0.710401891252955,1.0357379999477416
medical,set_B_tree,LinearSVC,accuracy,0.6611111111111111,0.0029938999796286225
medical,set_B_tree,LinearSVC,f1,0.42990654205607476,0.0029938999796286225
medical,set_B_tree,LinearSVC,roc_auc,0.7435897435897436,0.0029938999796286225
medical,set_B_tree,MLPClassifier,accuracy,0.7611111111111111,0.049321700003929436
medical,set_B_tree,MLPClassifier,f1,0.12244897959183673,0.049321700003929436
medical,set_B_tree,MLPClassifier,roc_auc,0.5404619021640298,0.049321700003929436
medical,set_C_hybrid,LogisticRegression,accuracy,0.6888888888888889,0.005549599998630583
medical,set_C_hybrid,LogisticRegression,f1,0.4909090909090909,0.005549599998630583
medical,set_C_hybrid,LogisticRegression,roc_auc,0.7601382069467175,0.005549599998630583
medical,set_C_hybrid,RandomForest,accuracy,0.7833333333333333,1.0529026999138296
medical,set_C_hybrid,RandomForest,f1,0.23529411764705882,1.0529026999138296
medical,set_C_hybrid,RandomForest,roc_auc,0.7066739407164938,1.0529026999138296
medical,set_C_hybrid,LinearSVC,accuracy,0.6888888888888889,0.0023038999643176794
medical,set_C_hybrid,LinearSVC,f1,0.4909090909090909,0.0023038999643176794
medical,set_C_hybrid,LinearSVC,roc_auc,0.7605019094380796,0.0023038999643176794
medical,set_C_hybrid,MLPClassifier,accuracy,0.7777777777777778,0.0346750000026077
medical,set_C_hybrid,MLPClassifier,f1,0.16666666666666666,0.0346750000026077
medical,set_C_hybrid,MLPClassifier,roc_auc,0.45808328787052194,0.0346750000026077
finance,full,LogisticRegression,accuracy,0.6727272727272727,0.006043400033377111
finance,full,LogisticRegression,f1,0.5714285714285714,0.006043400033377111
finance,full,LogisticRegression,roc_auc,0.722693531283139,0.006043400033377111
finance,full,RandomForest,accuracy,0.6636363636363637,1.0334486999781802
finance,full,RandomForest,f1,0.39344262295081966,1.0334486999781802
finance,full,RandomForest,roc_auc,0.6584482149169317,1.0334486999781802
finance,full,LinearSVC,accuracy,0.6772727272727272,0.003687300020828843
finance,full,LinearSVC,f1,0.5748502994011976,0.003687300020828843
finance,full,LinearSVC,roc_auc,0.724107458465889,0.003687300020828843
finance,full,MLPClassifier,accuracy,0.6681818181818182,0.0893665999174118
finance,full,MLPClassifier,f1,0.416,0.0893665999174118
finance,full,MLPClassifier,roc_auc,0.6819547543301521,0.0893665999174118
finance,set_A_wrapper,LogisticRegression,accuracy,0.6636363636363637,0.004867600044235587
finance,set_A_wrapper,LogisticRegression,f1,0.5542168674698795,0.004867600044235587
finance,set_A_wrapper,LogisticRegression,roc_auc,0.7135913750441852,0.004867600044235587
finance,set_A_wrapper,RandomForest,accuracy,0.6545454545454545,1.0314316999865696
finance,set_A_wrapper,RandomForest,f1,0.40625,1.0314316999865696
finance,set_A_wrapper,RandomForest,roc_auc,0.6455019441498763,1.0314316999865696
finance,set_A_wrapper,LinearSVC,accuracy,0.6681818181818182,0.0025812999811023474
finance,set_A_wrapper,LinearSVC,f1,0.5575757575757576,0.0025812999811023474
finance,set_A_wrapper,LinearSVC,roc_auc,0.7139448568398727,0.0025812999811023474
finance,set_A_wrapper,MLPClassifier,accuracy,0.7090909090909091,0.11639830004423857
finance,set_A_wrapper,MLPClassifier,f1,0.49206349206349204,0.11639830004423857
finance,set_A_wrapper,MLPClassifier,roc_auc,0.6929126899964652,0.11639830004423857
finance,set_B_tree,LogisticRegression,accuracy,0.6636363636363637,0.005118099972605705
finance,set_B_tree,LogisticRegression,f1,0.5595238095238095,0.005118099972605705
finance,set_B_tree,LogisticRegression,roc_auc,0.7158006362672322,0.005118099972605705
finance,set_B_tree,RandomForest,accuracy,0.6590909090909091,1.046963999979198
finance,set_B_tree,RandomForest,f1,0.4186046511627907,1.046963999979198
finance,set_B_tree,RandomForest,roc_auc,0.6284464475079533,1.046963999979198
finance,set_B_tree,LinearSVC,accuracy,0.6636363636363637,0.0026308000087738037
finance,set_B_tree,LinearSVC,f1,0.5595238095238095,0.0026308000087738037
finance,set_B_tree,LinearSVC,roc_auc,0.7161541180629197,0.0026308000087738037
finance,set_B_tree,MLPClassifier,accuracy,0.7227272727272728,0.08967100002337247
finance,set_B_tree,MLPClassifier,f1,0.512,0.08967100002337247
finance,set_B_tree,MLPClassifier,roc_auc,0.7027218098267939,0.08967100002337247
finance,set_C_hybrid,LogisticRegression,accuracy,0.65,0.004858599975705147
finance,set_C_hybrid,LogisticRegression,f1,0.5389221556886228,0.004858599975705147
finance,set_C_hybrid,LogisticRegression,roc_auc,0.7051961823966066,0.004858599975705147
finance,set_C_hybrid,RandomForest,accuracy,0.6454545454545455,0.9954302000114694
finance,set_C_hybrid,RandomForest,f1,0.390625,0.9954302000114694
finance,set_C_hybrid,RandomForest,roc_auc,0.6384764934605868,0.9954302000114694
finance,set_C_hybrid,LinearSVC,accuracy,0.6409090909090909,0.002239900059066713
finance,set_C_hybrid,LinearSVC,f1,0.5325443786982249,0.002239900059066713
finance,set_C_hybrid,LinearSVC,roc_auc,0.7043124779073878,0.002239900059066713
finance,set_C_hybrid,MLPClassifier,accuracy,0.7,0.06730250001419336
finance,set_C_hybrid,MLPClassifier,f1,0.49230769230769234,0.06730250001419336
finance,set_C_hybrid,MLPClassifier,roc_auc,0.6880523153057617,0.06730250001419336
