dataset,model,feature_set,threshold,precision,recall,f1
medical,LogisticRegression,full,0.2,0.26277372262773724,0.9230769230769231,0.4090909090909091
medical,LogisticRegression,full,0.25,0.29508196721311475,0.9230769230769231,0.4472049689440994
medical,LogisticRegression,full,0.3,0.30357142857142855,0.8717948717948718,0.4503311258278146
medical,LogisticRegression,full,0.35,0.3142857142857143,0.8461538461538461,0.4583333333333333
medical,LogisticRegression,full,0.39999999999999997,0.3404255319148936,0.8205128205128205,0.48120300751879697
medical,LogisticRegression,full,0.44999999999999996,0.35802469135802467,0.7435897435897436,0.48333333333333334
medical,LogisticRegression,full,0.49999999999999994,0.3611111111111111,0.6666666666666666,0.46846846846846846
medical,LogisticRegression,full,0.5499999999999999,0.3787878787878788,0.6410256410256411,0.47619047619047616
medical,LogisticRegression,full,0.5999999999999999,0.39215686274509803,0.5128205128205128,0.4444444444444444
medical,LogisticRegression,full,0.6499999999999999,0.42857142857142855,0.46153846153846156,0.4444444444444444
medical,LogisticRegression,full,0.7,0.4594594594594595,0.4358974358974359,0.4473684210526316
medical,LogisticRegression,full,0.7499999999999998,0.5384615384615384,0.358974358974359,0.4307692307692308
medical,LogisticRegression,full,0.7999999999999998,0.5555555555555556,0.2564102564102564,0.3508771929824561
finance,LinearSVC,full,0.2,0.37272727272727274,1.0,0.543046357615894
finance,LinearSVC,full,0.25,0.37272727272727274,1.0,0.543046357615894
finance,LinearSVC,full,0.3,0.3744292237442922,1.0,0.5448504983388704
finance,LinearSVC,full,0.35,0.3894230769230769,0.9878048780487805,0.5586206896551724
finance,LinearSVC,full,0.39999999999999997,0.41847826086956524,0.9390243902439024,0.5789473684210527
finance,LinearSVC,full,0.44999999999999996,0.46853146853146854,0.8170731707317073,0.5955555555555555
finance,LinearSVC,full,0.49999999999999994,0.5647058823529412,0.5853658536585366,0.5748502994011976
finance,LinearSVC,full,0.5499999999999999,0.6956521739130435,0.3902439024390244,0.5
finance,LinearSVC,full,0.5999999999999999,0.8461538461538461,0.2682926829268293,0.4074074074074074
finance,LinearSVC,full,0.6499999999999999,0.9166666666666666,0.13414634146341464,0.23404255319148937
finance,LinearSVC,full,0.7,1.0,0.06097560975609756,0.11494252873563218
finance,LinearSVC,full,0.7499999999999998,1.0,0.036585365853658534,0.07058823529411765
finance,LinearSVC,full,0.7999999999999998,1.0,0.012195121951219513,0.024096385542168676
